counts,transA,transB,M,N,K,lda,ldb,ldc
1,N,T,12544,256,256,44288,256,44288
9,N,T,12544,512,256,12544,512,44288
3,N,T,12544,512,256,44288,512,44288
3,N,T,12544,768,256,12544,768,44288
1,N,T,12544,768,256,44288,768,44288
3,N,T,12800,1024,256,12800,1024,44288
1,N,T,12800,1024,256,44288,1024,44288
21,N,T,12800,1280,256,12800,1280,44288
7,N,T,12800,1280,256,44288,1280,44288
12,N,T,12800,1281,256,12800,1281,44288
4,N,T,12800,1281,256,44288,1281,44288
2,N,T,12800,1536,256,12800,1536,44288
72,N,T,12800,1792,256,12800,1792,44288
24,N,T,12800,1792,256,44288,1792,44288
60,N,T,12800,2048,256,12800,2048,44288
20,N,T,12800,2048,256,44288,2048,44288
1,N,T,12800,512,256,12800,512,44288
1,N,T,12800,512,256,44288,512,44288
9,N,T,12800,768,256,12800,768,44288
3,N,T,12800,768,256,44288,768,44288
2,N,T,1280,1025,256,1280,1025,44288
2,N,T,1280,1025,256,44288,1025,44288
12,N,T,1280,1280,256,1280,1280,44288
4,N,T,1280,1280,256,44288,1280,44288
10,N,T,1280,1281,256,1280,1281,44288
2,N,T,1280,1281,256,44288,1281,44288
4,N,T,1280,256,256,1280,256,44288
9,N,T,13056,1024,256,13056,1024,44288
3,N,T,13056,1024,256,44288,1024,44288
15,N,T,13056,1280,256,13056,1280,44288
5,N,T,13056,1280,256,44288,1280,44288
12,N,T,13056,1281,256,13056,1281,44288
4,N,T,13056,1281,256,44288,1281,44288
9,N,T,13056,1536,256,13056,1536,44288
3,N,T,13056,1536,256,44288,1536,44288
74,N,T,13056,1792,256,13056,1792,44288
24,N,T,13056,1792,256,44288,1792,44288
60,N,T,13056,2048,256,13056,2048,44288
20,N,T,13056,2048,256,44288,2048,44288
1,N,T,13056,768,256,13056,768,44288
1,N,T,13056,768,256,44288,768,44288
1,N,T,13312,1024,256,13312,1024,44288
1,N,T,13312,1024,256,44288,1024,44288
21,N,T,13312,1280,256,13312,1280,44288
7,N,T,13312,1280,256,44288,1280,44288
12,N,T,13312,1281,256,13312,1281,44288
4,N,T,13312,1281,256,44288,1281,44288
3,N,T,13312,1536,256,13312,1536,44288
1,N,T,13312,1536,256,44288,1536,44288
81,N,T,13312,1792,256,13312,1792,44288
27,N,T,13312,1792,256,44288,1792,44288
62,N,T,13312,2048,256,13312,2048,44288
20,N,T,13312,2048,256,44288,2048,44288
13,N,T,13568,1280,256,13568,1280,44288
5,N,T,13568,1280,256,44288,1280,44288
12,N,T,13568,1281,256,13568,1281,44288
4,N,T,13568,1281,256,44288,1281,44288
9,N,T,13568,1536,256,13568,1536,44288
3,N,T,13568,1536,256,44288,1536,44288
75,N,T,13568,1792,256,13568,1792,44288
25,N,T,13568,1792,256,44288,1792,44288
71,N,T,13568,2048,256,13568,2048,44288
23,N,T,13568,2048,256,44288,2048,44288
2,N,T,13568,256,256,13568,256,44288
12,N,T,13824,1280,256,13824,1280,44288
4,N,T,13824,1280,256,44288,1280,44288
12,N,T,13824,1281,256,13824,1281,44288
4,N,T,13824,1281,256,44288,1281,44288
1,N,T,13824,1536,256,13824,1536,44288
1,N,T,13824,1536,256,44288,1536,44288
83,N,T,13824,1792,256,13824,1792,44288
27,N,T,13824,1792,256,44288,1792,44288
72,N,T,13824,2048,256,13824,2048,44288
24,N,T,13824,2048,256,44288,2048,44288
11,N,T,13824,256,256,13824,256,44288
3,N,T,13824,256,256,44288,256,44288
2,N,T,13824,512,256,13824,512,44288
12,N,T,14080,1280,256,14080,1280,44288
4,N,T,14080,1280,256,44288,1280,44288
12,N,T,14080,1281,256,14080,1281,44288
4,N,T,14080,1281,256,44288,1281,44288
84,N,T,14080,1792,256,14080,1792,44288
28,N,T,14080,1792,256,44288,1792,44288
72,N,T,14080,2048,256,14080,2048,44288
24,N,T,14080,2048,256,44288,2048,44288
10,N,T,14080,256,256,14080,256,44288
4,N,T,14080,256,256,44288,256,44288
11,N,T,14080,512,256,14080,512,44288
3,N,T,14080,512,256,44288,512,44288
2,N,T,14080,768,256,14080,768,44288
2,N,T,14336,1024,256,14336,1024,44288
12,N,T,14336,1280,256,14336,1280,44288
4,N,T,14336,1280,256,44288,1280,44288
12,N,T,14336,1281,256,14336,1281,44288
4,N,T,14336,1281,256,44288,1281,44288
84,N,T,14336,1792,256,14336,1792,44288
28,N,T,14336,1792,256,44288,1792,44288
72,N,T,14336,2048,256,14336,2048,44288
24,N,T,14336,2048,256,44288,2048,44288
1,N,T,14336,256,256,14336,256,44288
1,N,T,14336,256,256,44288,256,44288
10,N,T,14336,512,256,14336,512,44288
4,N,T,14336,512,256,44288,512,44288
11,N,T,14336,768,256,14336,768,44288
3,N,T,14336,768,256,44288,768,44288
11,N,T,14592,1024,256,14592,1024,44288
3,N,T,14592,1024,256,44288,1024,44288
14,N,T,14592,1280,256,14592,1280,44288
4,N,T,14592,1280,256,44288,1280,44288
12,N,T,14592,1281,256,14592,1281,44288
4,N,T,14592,1281,256,44288,1281,44288
84,N,T,14592,1792,256,14592,1792,44288
28,N,T,14592,1792,256,44288,1792,44288
72,N,T,14592,2048,256,14592,2048,44288
24,N,T,14592,2048,256,44288,2048,44288
1,N,T,14592,512,256,14592,512,44288
1,N,T,14592,512,256,44288,512,44288
10,N,T,14592,768,256,14592,768,44288
4,N,T,14592,768,256,44288,768,44288
10,N,T,14848,1024,256,14848,1024,44288
4,N,T,14848,1024,256,44288,1024,44288
23,N,T,14848,1280,256,14848,1280,44288
7,N,T,14848,1280,256,44288,1280,44288
12,N,T,14848,1281,256,14848,1281,44288
4,N,T,14848,1281,256,44288,1281,44288
2,N,T,14848,1536,256,14848,1536,44288
84,N,T,14848,1792,256,14848,1792,44288
28,N,T,14848,1792,256,44288,1792,44288
72,N,T,14848,2048,256,14848,2048,44288
24,N,T,14848,2048,256,44288,2048,44288
1,N,T,14848,768,256,14848,768,44288
1,N,T,14848,768,256,44288,768,44288
1,N,T,15104,1024,256,15104,1024,44288
1,N,T,15104,1024,256,44288,1024,44288
22,N,T,15104,1280,256,15104,1280,44288
8,N,T,15104,1280,256,44288,1280,44288
12,N,T,15104,1281,256,15104,1281,44288
4,N,T,15104,1281,256,44288,1281,44288
11,N,T,15104,1536,256,15104,1536,44288
3,N,T,15104,1536,256,44288,1536,44288
86,N,T,15104,1792,256,15104,1792,44288
28,N,T,15104,1792,256,44288,1792,44288
72,N,T,15104,2048,256,15104,2048,44288
24,N,T,15104,2048,256,44288,2048,44288
13,N,T,15360,1280,256,15360,1280,44288
5,N,T,15360,1280,256,44288,1280,44288
12,N,T,15360,1281,256,15360,1281,44288
4,N,T,15360,1281,256,44288,1281,44288
10,N,T,15360,1536,256,15360,1536,44288
4,N,T,15360,1536,256,44288,1536,44288
95,N,T,15360,1792,256,15360,1792,44288
31,N,T,15360,1792,256,44288,1792,44288
74,N,T,15360,2048,256,15360,2048,44288
24,N,T,15360,2048,256,44288,2048,44288
12,N,T,1536,1280,256,1536,1280,44288
4,N,T,1536,1280,256,44288,1280,44288
12,N,T,1536,1281,256,1536,1281,44288
4,N,T,1536,1281,256,44288,1281,44288
18,N,T,1536,256,256,1536,256,44288
6,N,T,1536,256,256,44288,256,44288
4,N,T,1536,512,256,1536,512,44288
12,N,T,15616,1280,256,15616,1280,44288
4,N,T,15616,1280,256,44288,1280,44288
12,N,T,15616,1281,256,15616,1281,44288
4,N,T,15616,1281,256,44288,1281,44288
1,N,T,15616,1536,256,15616,1536,44288
1,N,T,15616,1536,256,44288,1536,44288
96,N,T,15616,1792,256,15616,1792,44288
32,N,T,15616,1792,256,44288,1792,44288
83,N,T,15616,2048,256,15616,2048,44288
27,N,T,15616,2048,256,44288,2048,44288
4,N,T,15616,256,256,15616,256,44288
12,N,T,15872,1280,256,15872,1280,44288
4,N,T,15872,1280,256,44288,1280,44288
12,N,T,15872,1281,256,15872,1281,44288
4,N,T,15872,1281,256,44288,1281,44288
96,N,T,15872,1792,256,15872,1792,44288
32,N,T,15872,1792,256,44288,1792,44288
84,N,T,15872,2048,256,15872,2048,44288
28,N,T,15872,2048,256,44288,2048,44288
18,N,T,15872,256,256,15872,256,44288
6,N,T,15872,256,256,44288,256,44288
4,N,T,15872,512,256,15872,512,44288
12,N,T,16128,1280,256,16128,1280,44288
4,N,T,16128,1280,256,44288,1280,44288
12,N,T,16128,1281,256,16128,1281,44288
4,N,T,16128,1281,256,44288,1281,44288
96,N,T,16128,1792,256,16128,1792,44288
32,N,T,16128,1792,256,44288,1792,44288
84,N,T,16128,2048,256,16128,2048,44288
28,N,T,16128,2048,256,44288,2048,44288
2,N,T,16128,256,256,16128,256,44288
2,N,T,16128,256,256,44288,256,44288
18,N,T,16128,512,256,16128,512,44288
6,N,T,16128,512,256,44288,512,44288
4,N,T,16128,768,256,16128,768,44288
4,N,T,16384,1024,256,16384,1024,44288
12,N,T,16384,1280,256,16384,1280,44288
4,N,T,16384,1280,256,44288,1280,44288
12,N,T,16384,1281,256,16384,1281,44288
4,N,T,16384,1281,256,44288,1281,44288
96,N,T,16384,1792,256,16384,1792,44288
32,N,T,16384,1792,256,44288,1792,44288
84,N,T,16384,2048,256,16384,2048,44288
28,N,T,16384,2048,256,44288,2048,44288
2,N,T,16384,512,256,16384,512,44288
2,N,T,16384,512,256,44288,512,44288
18,N,T,16384,768,256,16384,768,44288
6,N,T,16384,768,256,44288,768,44288
18,N,T,16640,1024,256,16640,1024,44288
6,N,T,16640,1024,256,44288,1024,44288
16,N,T,16640,1280,256,16640,1280,44288
4,N,T,16640,1280,256,44288,1280,44288
12,N,T,16640,1281,256,16640,1281,44288
4,N,T,16640,1281,256,44288,1281,44288
96,N,T,16640,1792,256,16640,1792,44288
32,N,T,16640,1792,256,44288,1792,44288
84,N,T,16640,2048,256,16640,2048,44288
28,N,T,16640,2048,256,44288,2048,44288
2,N,T,16640,768,256,16640,768,44288
2,N,T,16640,768,256,44288,768,44288
2,N,T,16896,1024,256,16896,1024,44288
2,N,T,16896,1024,256,44288,1024,44288
30,N,T,16896,1280,256,16896,1280,44288
10,N,T,16896,1280,256,44288,1280,44288
12,N,T,16896,1281,256,16896,1281,44288
4,N,T,16896,1281,256,44288,1281,44288
4,N,T,16896,1536,256,16896,1536,44288
96,N,T,16896,1792,256,16896,1792,44288
32,N,T,16896,1792,256,44288,1792,44288
84,N,T,16896,2048,256,16896,2048,44288
28,N,T,16896,2048,256,44288,2048,44288
14,N,T,17152,1280,256,17152,1280,44288
6,N,T,17152,1280,256,44288,1280,44288
12,N,T,17152,1281,256,17152,1281,44288
4,N,T,17152,1281,256,44288,1281,44288
18,N,T,17152,1536,256,17152,1536,44288
6,N,T,17152,1536,256,44288,1536,44288
100,N,T,17152,1792,256,17152,1792,44288
32,N,T,17152,1792,256,44288,1792,44288
84,N,T,17152,2048,256,17152,2048,44288
28,N,T,17152,2048,256,44288,2048,44288
12,N,T,17408,1280,256,17408,1280,44288
4,N,T,17408,1280,256,44288,1280,44288
12,N,T,17408,1281,256,17408,1281,44288
4,N,T,17408,1281,256,44288,1281,44288
2,N,T,17408,1536,256,17408,1536,44288
2,N,T,17408,1536,256,44288,1536,44288
116,N,T,17408,1792,256,17408,1792,44288
38,N,T,17408,1792,256,44288,1792,44288
86,N,T,17408,2048,256,17408,2048,44288
28,N,T,17408,2048,256,44288,2048,44288
2,N,T,17408,256,256,17408,256,44288
12,N,T,17664,1280,256,17664,1280,44288
4,N,T,17664,1280,256,44288,1280,44288
12,N,T,17664,1281,256,17664,1281,44288
4,N,T,17664,1281,256,44288,1281,44288
109,N,T,17664,1792,256,17664,1792,44288
37,N,T,17664,1792,256,44288,1792,44288
95,N,T,17664,2048,256,17664,2048,44288
31,N,T,17664,2048,256,44288,2048,44288
11,N,T,17664,256,256,17664,256,44288
3,N,T,17664,256,256,44288,256,44288
2,N,T,17664,512,256,17664,512,44288
12,N,T,17920,1280,256,17920,1280,44288
4,N,T,17920,1280,256,44288,1280,44288
12,N,T,17920,1281,256,17920,1281,44288
4,N,T,17920,1281,256,44288,1281,44288
108,N,T,17920,1792,256,17920,1792,44288
36,N,T,17920,1792,256,44288,1792,44288
96,N,T,17920,2048,256,17920,2048,44288
32,N,T,17920,2048,256,44288,2048,44288
10,N,T,17920,256,256,17920,256,44288
4,N,T,17920,256,256,44288,256,44288
11,N,T,17920,512,256,17920,512,44288
3,N,T,17920,512,256,44288,512,44288
2,N,T,17920,768,256,17920,768,44288
12,N,T,1792,1280,256,1792,1280,44288
4,N,T,1792,1280,256,44288,1280,44288
12,N,T,1792,1281,256,1792,1281,44288
4,N,T,1792,1281,256,44288,1281,44288
2,N,T,1792,256,256,1792,256,44288
2,N,T,1792,256,256,44288,256,44288
18,N,T,1792,512,256,1792,512,44288
6,N,T,1792,512,256,44288,512,44288
4,N,T,1792,768,256,1792,768,44288
2,N,T,18176,1024,256,18176,1024,44288
12,N,T,18176,1280,256,18176,1280,44288
4,N,T,18176,1280,256,44288,1280,44288
12,N,T,18176,1281,256,18176,1281,44288
4,N,T,18176,1281,256,44288,1281,44288
108,N,T,18176,1792,256,18176,1792,44288
36,N,T,18176,1792,256,44288,1792,44288
96,N,T,18176,2048,256,18176,2048,44288
32,N,T,18176,2048,256,44288,2048,44288
1,N,T,18176,256,256,18176,256,44288
1,N,T,18176,256,256,44288,256,44288
10,N,T,18176,512,256,18176,512,44288
4,N,T,18176,512,256,44288,512,44288
11,N,T,18176,768,256,18176,768,44288
3,N,T,18176,768,256,44288,768,44288
11,N,T,18432,1024,256,18432,1024,44288
3,N,T,18432,1024,256,44288,1024,44288
14,N,T,18432,1280,256,18432,1280,44288
4,N,T,18432,1280,256,44288,1280,44288
12,N,T,18432,1281,256,18432,1281,44288
4,N,T,18432,1281,256,44288,1281,44288
108,N,T,18432,1792,256,18432,1792,44288
36,N,T,18432,1792,256,44288,1792,44288
96,N,T,18432,2048,256,18432,2048,44288
32,N,T,18432,2048,256,44288,2048,44288
1,N,T,18432,512,256,18432,512,44288
1,N,T,18432,512,256,44288,512,44288
10,N,T,18432,768,256,18432,768,44288
4,N,T,18432,768,256,44288,768,44288
10,N,T,18688,1024,256,18688,1024,44288
4,N,T,18688,1024,256,44288,1024,44288
23,N,T,18688,1280,256,18688,1280,44288
7,N,T,18688,1280,256,44288,1280,44288
12,N,T,18688,1281,256,18688,1281,44288
4,N,T,18688,1281,256,44288,1281,44288
2,N,T,18688,1536,256,18688,1536,44288
108,N,T,18688,1792,256,18688,1792,44288
36,N,T,18688,1792,256,44288,1792,44288
96,N,T,18688,2048,256,18688,2048,44288
32,N,T,18688,2048,256,44288,2048,44288
1,N,T,18688,768,256,18688,768,44288
1,N,T,18688,768,256,44288,768,44288
1,N,T,18944,1024,256,18944,1024,44288
1,N,T,18944,1024,256,44288,1024,44288
22,N,T,18944,1280,256,18944,1280,44288
8,N,T,18944,1280,256,44288,1280,44288
12,N,T,18944,1281,256,18944,1281,44288
4,N,T,18944,1281,256,44288,1281,44288
11,N,T,18944,1536,256,18944,1536,44288
3,N,T,18944,1536,256,44288,1536,44288
110,N,T,18944,1792,256,18944,1792,44288
36,N,T,18944,1792,256,44288,1792,44288
96,N,T,18944,2048,256,18944,2048,44288
32,N,T,18944,2048,256,44288,2048,44288
13,N,T,19200,1280,256,19200,1280,44288
5,N,T,19200,1280,256,44288,1280,44288
12,N,T,19200,1281,256,19200,1281,44288
4,N,T,19200,1281,256,44288,1281,44288
10,N,T,19200,1536,256,19200,1536,44288
4,N,T,19200,1536,256,44288,1536,44288
121,N,T,19200,1792,256,19200,1792,44288
39,N,T,19200,1792,256,44288,1792,44288
96,N,T,19200,2048,256,19200,2048,44288
32,N,T,19200,2048,256,44288,2048,44288
2,N,T,19200,256,256,19200,256,44288
12,N,T,19456,1280,256,19456,1280,44288
4,N,T,19456,1280,256,44288,1280,44288
12,N,T,19456,1281,256,19456,1281,44288
4,N,T,19456,1281,256,44288,1281,44288
1,N,T,19456,1536,256,19456,1536,44288
1,N,T,19456,1536,256,44288,1536,44288
129,N,T,19456,1792,256,19456,1792,44288
43,N,T,19456,1792,256,44288,1792,44288
98,N,T,19456,2048,256,19456,2048,44288
32,N,T,19456,2048,256,44288,2048,44288
9,N,T,19456,256,256,19456,256,44288
3,N,T,19456,256,256,44288,256,44288
2,N,T,19456,512,256,19456,512,44288
12,N,T,19712,1280,256,19712,1280,44288
4,N,T,19712,1280,256,44288,1280,44288
12,N,T,19712,1281,256,19712,1281,44288
4,N,T,19712,1281,256,44288,1281,44288
121,N,T,19712,1792,256,19712,1792,44288
41,N,T,19712,1792,256,44288,1792,44288
107,N,T,19712,2048,256,19712,2048,44288
35,N,T,19712,2048,256,44288,2048,44288
3,N,T,19712,256,256,19712,256,44288
1,N,T,19712,256,256,44288,256,44288
9,N,T,19712,512,256,19712,512,44288
3,N,T,19712,512,256,44288,512,44288
2,N,T,19712,768,256,19712,768,44288
2,N,T,19968,1024,256,19968,1024,44288
12,N,T,19968,1280,256,19968,1280,44288
4,N,T,19968,1280,256,44288,1280,44288
12,N,T,19968,1281,256,19968,1281,44288
4,N,T,19968,1281,256,44288,1281,44288
120,N,T,19968,1792,256,19968,1792,44288
40,N,T,19968,1792,256,44288,1792,44288
108,N,T,19968,2048,256,19968,2048,44288
36,N,T,19968,2048,256,44288,2048,44288
9,N,T,19968,256,256,19968,256,44288
3,N,T,19968,256,256,44288,256,44288
3,N,T,19968,512,256,19968,512,44288
1,N,T,19968,512,256,44288,512,44288
9,N,T,19968,768,256,19968,768,44288
3,N,T,19968,768,256,44288,768,44288
9,N,T,20224,1024,256,20224,1024,44288
3,N,T,20224,1024,256,44288,1024,44288
14,N,T,20224,1280,256,20224,1280,44288
4,N,T,20224,1280,256,44288,1280,44288
12,N,T,20224,1281,256,20224,1281,44288
4,N,T,20224,1281,256,44288,1281,44288
120,N,T,20224,1792,256,20224,1792,44288
40,N,T,20224,1792,256,44288,1792,44288
108,N,T,20224,2048,256,20224,2048,44288
36,N,T,20224,2048,256,44288,2048,44288
1,N,T,20224,256,256,20224,256,44288
1,N,T,20224,256,256,44288,256,44288
9,N,T,20224,512,256,20224,512,44288
3,N,T,20224,512,256,44288,512,44288
3,N,T,20224,768,256,20224,768,44288
1,N,T,20224,768,256,44288,768,44288
3,N,T,20480,1024,256,20480,1024,44288
1,N,T,20480,1024,256,44288,1024,44288
21,N,T,20480,1280,256,20480,1280,44288
7,N,T,20480,1280,256,44288,1280,44288
12,N,T,20480,1281,256,20480,1281,44288
4,N,T,20480,1281,256,44288,1281,44288
2,N,T,20480,1536,256,20480,1536,44288
120,N,T,20480,1792,256,20480,1792,44288
40,N,T,20480,1792,256,44288,1792,44288
108,N,T,20480,2048,256,20480,2048,44288
36,N,T,20480,2048,256,44288,2048,44288
1,N,T,20480,512,256,20480,512,44288
1,N,T,20480,512,256,44288,512,44288
9,N,T,20480,768,256,20480,768,44288
3,N,T,20480,768,256,44288,768,44288
4,N,T,2048,1024,256,2048,1024,44288
12,N,T,2048,1280,256,2048,1280,44288
4,N,T,2048,1280,256,44288,1280,44288
12,N,T,2048,1281,256,2048,1281,44288
4,N,T,2048,1281,256,44288,1281,44288
2,N,T,2048,512,256,2048,512,44288
2,N,T,2048,512,256,44288,512,44288
18,N,T,2048,768,256,2048,768,44288
6,N,T,2048,768,256,44288,768,44288
9,N,T,20736,1024,256,20736,1024,44288
3,N,T,20736,1024,256,44288,1024,44288
15,N,T,20736,1280,256,20736,1280,44288
5,N,T,20736,1280,256,44288,1280,44288
12,N,T,20736,1281,256,20736,1281,44288
4,N,T,20736,1281,256,44288,1281,44288
9,N,T,20736,1536,256,20736,1536,44288
3,N,T,20736,1536,256,44288,1536,44288
122,N,T,20736,1792,256,20736,1792,44288
40,N,T,20736,1792,256,44288,1792,44288
108,N,T,20736,2048,256,20736,2048,44288
36,N,T,20736,2048,256,44288,2048,44288
1,N,T,20736,768,256,20736,768,44288
1,N,T,20736,768,256,44288,768,44288
1,N,T,20992,1024,256,20992,1024,44288
1,N,T,20992,1024,256,44288,1024,44288
21,N,T,20992,1280,256,20992,1280,44288
7,N,T,20992,1280,256,44288,1280,44288
12,N,T,20992,1281,256,20992,1281,44288
4,N,T,20992,1281,256,44288,1281,44288
3,N,T,20992,1536,256,20992,1536,44288
1,N,T,20992,1536,256,44288,1536,44288
131,N,T,20992,1792,256,20992,1792,44288
43,N,T,20992,1792,256,44288,1792,44288
108,N,T,20992,2048,256,20992,2048,44288
36,N,T,20992,2048,256,44288,2048,44288
2,N,T,20992,256,256,20992,256,44288
13,N,T,21248,1280,256,21248,1280,44288
5,N,T,21248,1280,256,44288,1280,44288
12,N,T,21248,1281,256,21248,1281,44288
4,N,T,21248,1281,256,44288,1281,44288
9,N,T,21248,1536,256,21248,1536,44288
3,N,T,21248,1536,256,44288,1536,44288
134,N,T,21248,1792,256,21248,1792,44288
44,N,T,21248,1792,256,44288,1792,44288
108,N,T,21248,2048,256,21248,2048,44288
36,N,T,21248,2048,256,44288,2048,44288
9,N,T,21248,256,256,21248,256,44288
