counts,transA,transB,M,N,K,lda,ldb,ldc
2,N,T,38784,1153,384,38784,1153,44160
28,N,T,38784,2688,384,38784,2688,44160
2,N,T,39168,1153,384,39168,1153,44160
28,N,T,39168,2688,384,39168,2688,44160
2,N,T,39168,384,384,39168,384,44160
2,N,T,39552,1153,384,39552,1153,44160
28,N,T,39552,2688,384,39552,2688,44160
2,N,T,39552,768,384,39552,768,44160
2,N,T,39936,1152,384,39936,1152,44160
2,N,T,39936,1153,384,39936,1153,44160
28,N,T,39936,2688,384,39936,2688,44160
2,N,T,40320,1153,384,40320,1153,44160
2,N,T,40320,1536,384,40320,1536,44160
28,N,T,40320,2688,384,40320,2688,44160
2,N,T,40704,1153,384,40704,1153,44160
2,N,T,40704,1920,384,40704,1920,44160
28,N,T,40704,2688,384,40704,2688,44160
2,N,T,41088,1153,384,41088,1153,44160
2,N,T,41088,2304,384,41088,2304,44160
28,N,T,41088,2688,384,41088,2688,44160
2,N,T,41472,1153,384,41472,1153,44160
30,N,T,41472,2688,384,41472,2688,44160
2,N,T,41856,1153,384,41856,1153,44160
30,N,T,41856,2688,384,41856,2688,44160
2,N,T,41856,384,384,41856,384,44160
2,N,T,42240,1153,384,42240,1153,44160
30,N,T,42240,2688,384,42240,2688,44160
2,N,T,42240,768,384,42240,768,44160
2,N,T,4224,1153,384,4224,1153,44160
2,N,T,4224,2688,384,4224,2688,44160
2,N,T,4224,384,384,4224,384,44160
2,N,T,42624,1152,384,42624,1152,44160
2,N,T,42624,1153,384,42624,1153,44160
30,N,T,42624,2688,384,42624,2688,44160
2,N,T,43008,1153,384,43008,1153,44160
2,N,T,43008,1536,384,43008,1536,44160
30,N,T,43008,2688,384,43008,2688,44160
2,N,T,43392,1153,384,43392,1153,44160
2,N,T,43392,1920,384,43392,1920,44160
30,N,T,43392,2688,384,43392,2688,44160
2,N,T,43776,1153,384,43776,1153,44160
2,N,T,43776,2304,384,43776,2304,44160
30,N,T,43776,2688,384,43776,2688,44160
2,N,T,4608,1153,384,4608,1153,44160
2,N,T,4608,2688,384,4608,2688,44160
2,N,T,4608,768,384,4608,768,44160
2,N,T,4992,1152,384,4992,1152,44160
2,N,T,4992,1153,384,4992,1153,44160
2,N,T,4992,2688,384,4992,2688,44160
2,N,T,5376,1153,384,5376,1153,44160
2,N,T,5376,1536,384,5376,1536,44160
2,N,T,5376,2688,384,5376,2688,44160
2,N,T,5760,1153,384,5760,1153,44160
2,N,T,5760,1920,384,5760,1920,44160
2,N,T,5760,2688,384,5760,2688,44160
2,N,T,6144,1153,384,6144,1153,44160
2,N,T,6144,2304,384,6144,2304,44160
2,N,T,6144,2688,384,6144,2688,44160
2,N,T,6528,1153,384,6528,1153,44160
4,N,T,6528,2688,384,6528,2688,44160
2,N,T,6912,1153,384,6912,1153,44160
4,N,T,6912,2688,384,6912,2688,44160
2,N,T,6912,384,384,6912,384,44160
2,N,T,7296,1153,384,7296,1153,44160
4,N,T,7296,2688,384,7296,2688,44160
2,N,T,7296,768,384,7296,768,44160
2,N,T,7680,1152,384,7680,1152,44160
2,N,T,7680,1153,384,7680,1153,44160
4,N,T,7680,2688,384,7680,2688,44160
2,N,T,768,769,384,768,769,44160
2,N,T,8064,1153,384,8064,1153,44160
2,N,T,8064,1536,384,8064,1536,44160
4,N,T,8064,2688,384,8064,2688,44160
2,N,T,8448,1153,384,8448,1153,44160
2,N,T,8448,1920,384,8448,1920,44160
4,N,T,8448,2688,384,8448,2688,44160
2,N,T,8832,1153,384,8832,1153,44160
2,N,T,8832,2304,384,8832,2304,44160
4,N,T,8832,2688,384,8832,2688,44160
2,N,T,9216,1153,384,9216,1153,44160
6,N,T,9216,2688,384,9216,2688,44160
2,N,T,9600,1153,384,9600,1153,44160
6,N,T,9600,2688,384,9600,2688,44160
2,N,T,9600,384,384,9600,384,44160
2,N,T,9984,1153,384,9984,1153,44160
6,N,T,9984,2688,384,9984,2688,44160
2,N,T,9984,768,384,9984,768,44160
